location,lat,long,good,service,livestock,land
Africa,5.369085,-9.236846,2,1,NA,NA
Celie Childhood home,33.02050024570996,-83.3850089234675,2,NA,2,NA
Celie and Albert House,32.99976696381827,-83.5599840688572,1,NA,NA,NA
Celie's house,33.0095,-83.56,3,2,NA,NA
Harpo and Sofia's house,33.00023939282284,-83.55957640425451,1,NA,NA,NA
London,51.505154784266445,-0.14148688031308002,NA,1,NA,NA
"Memphis, TN",35.15221330647191,-90.06958208625237,4,NA,NA,NA
Miss Milli's house,32.999402580951326,-83.557033670263,1,NA,NA,NA
Monrovia,6.310806,-10.810706,2,NA,NA,NA
Olinka Village,6.251275915595865,-10.378889436404226,NA,NA,NA,4
Unknown place where Shug buys her car,35.1423794559834,-90.05283734326031,1,NA,NA,NA
Unknown place where Shug buys her clothing,35.13713103323558,-90.05711609106096,2,NA,NA,NA
Unknown town in Georgia,NA,NA,1,1,NA,NA
Unnamed store in town (dress),33.00212893882091,-83.55048908066463,1,NA,NA,NA
Unnamed store in town (fabric),33.00037436173625,-83.55293525513748,1,NA,NA,NA
West Coast Africa,16.186562850355916,-16.665029397655395,NA,NA,NA,1
