location,lat,long,good,money,service,NA,livestock
"Auda's home, Oklahoma",34.035492661171936,-95.70165425925988,2,NA,NA,NA,NA
Casino of the Sun,33.95130278659647,-96.41371298338967,NA,3,2,1,NA
Choctaw National Headquarters,33.9738135336593,-96.39809681164074,NA,1,NA,NA,NA
Choctaw National Regional Clinic,33.97434742077366,-96.40118672692857,NA,NA,1,NA,NA
"Durant, Oklahoma",33.99358462584947,-96.39455629842246,2,3,2,2,1
Oklahoma City,35.47376740380787,-97.52415532825404,1,NA,NA,NA,NA
"Okmulgee, Oklahoma",-95.93820852556478,35.628089981135595,NA,1,NA,NA,NA
"Pearl River, Louisiana",30.35713296671525,-89.76737311776155,1,NA,NA,NA,NA
Yanàbi Town,32.660613587223,-88.77688348338069,7,NA,1,NA,NA
NA,NA,NA,1,NA,NA,NA,NA
