location,lat,long,total_characters,unemployed,farmer,business owner,cashier,gambler,"farmer, gambler",gender_Female,gender_Male,gender_Group,gender_Unknowable,race_Black,race_Group,race_Unknowable,race_White,class_Lower,class_Middle,class_Poor,class_Upper
Eatonville,28.618579170446417,-81.38643808791495,11,2,1,4,1,2,0,3,8,0,0,11,0,0,0,5,5,1,0
Everglades,26.880865479163457,-80.44804338021213,5,0,0,0,3,1,1,3,1,1,0,4,1,0,0,2,3,0,0
Fort Lauderdale,26.12416,-80.14305,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Fort Myers,26.64227,-81.8691,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Janie and Tea Cake's House,26.834751662280585,-80.44334557182601,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
Lake City,30.189575765834622,-82.63817807919271,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Maitland,28.627213436693335,-81.35370630800469,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Okeechobee,27.24094388979997,-80.83412875570062,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Orlando,28.54026337989474,-81.39224619001222,16,0,3,0,3,10,0,3,12,1,0,15,1,0,0,13,3,0,0
Palm Beach,26.72641853933976,-80.00582721665843,2,0,0,0,0,1,1,0,1,1,0,1,1,0,0,2,0,0,0
Unknown Place where Tea Cake buys car,28.559097751714123,-81.41983351361162,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
West Florida,30.1964196653029,-82.75701828222084,2,1,1,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,1
