location,lat,long,total_characters,business owner,farmer,cashier,"farmer, gambler",doctor,gender_Female,gender_Male,gender_Unknowable,gender_Group,race_Black,race_Unknowable,race_Group,race_White,race_MixedAncestry,class_Lower,class_Middle,class_Poor,class_Upper
Eatonville,28.618579170446417,-81.38643808791495,12,4,1,4,0,0,4,5,3,0,9,3,0,0,0,2,8,1,1
Everglades,26.880865479163457,-80.44804338021213,5,0,0,1,1,1,1,3,0,1,1,0,1,3,0,1,2,0,2
Fort Lauderdale,26.12416,-80.14305,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Fort Myers,26.64227,-81.8691,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Janie and Tea Cake's House,26.834751662280585,-80.44334557182601,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Lake City,30.189575765834622,-82.63817807919271,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Maitland,28.627213436693335,-81.35370630800469,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Okeechobee,27.24094388979997,-80.83412875570062,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Orlando,28.54026337989474,-81.39224619001222,14,1,0,0,0,0,1,3,10,0,0,10,0,3,1,10,1,0,3
Palm Beach,26.72641853933976,-80.00582721665843,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0
Unknown Place where Tea Cake buys car,28.559097751714123,-81.41983351361162,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
West Florida,30.1964196653029,-82.75701828222084,2,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
